team,venue,matches,wins,draws,losses,gf,ga,pts,xg,xga,xpts,goals_vs_xg,goals_allowed_vs_xga,pts_vs_xpts
Borussia Dortmund,home,10,8,2,0,22,8,26,20.74,11.22,20.20,-1.26,3.22,-5.80
Bayern Munich,home,10,8,1,1,40,9,25,31.97,7.56,26.84,-8.03,-1.44,1.84
VfB Stuttgart,home,10,7,2,1,14,11,23,19.82,14.22,18.43,5.82,3.22,-4.57
Hoffenheim,home,10,7,0,3,24,13,21,20.38,13.70,17.71,-3.62,0.70,-3.29
RasenBallsport Leipzig,home,10,7,0,3,23,13,21,25.76,16.06,19.38,2.76,3.06,-1.62
Bayer Leverkusen,home,10,6,1,3,20,10,19,22.92,9.35,21.97,2.92,-0.65,2.97
Freiburg,home,9,5,3,1,18,11,18,18.77,9.57,17.63,0.77,-1.43,-0.37
Hamburger SV,home,10,4,4,2,15,11,16,16.34,13.44,15.72,1.34,2.44,-0.28
Augsburg,home,11,4,3,4,14,19,15,13.66,20.55,11.55,-0.34,1.55,-3.45
FC Cologne,home,10,4,2,4,18,15,14,15.85,14.89,13.85,-2.15,-0.11,-0.15
Eintracht Frankfurt,home,10,4,2,4,17,18,14,16.62,13.41,15.91,-0.38,-4.59,1.91
Union Berlin,home,10,3,4,3,15,16,13,16.12,14.25,15.12,1.12,-1.75,2.12
Werder Bremen,home,10,3,4,3,12,18,13,14.88,12.75,15.53,2.88,-5.25,2.53
Mainz 05,home,10,2,3,5,10,13,9,18.30,16.22,15.12,8.30,3.22,6.12
Wolfsburg,home,10,2,3,5,16,21,9,13.98,18.76,10.53,-2.02,-2.24,1.53
St. Pauli,home,9,2,3,4,9,16,9,9.13,14.43,8.88,0.13,-1.57,-0.12
Borussia M.Gladbach,home,10,2,3,5,12,20,9,14.23,19.93,10.30,2.23,-0.07,1.30
FC Heidenheim,home,10,2,3,5,10,22,9,14.43,20.93,10.36,4.43,-1.07,1.36
Bayern Munich,away,10,8,2,0,34,9,26,28.82,12.33,23.46,-5.18,3.33,-2.54
Hoffenheim,away,10,6,3,1,19,10,21,14.94,15.37,13.44,-4.06,5.37,-7.56
Borussia Dortmund,away,10,5,4,1,19,11,19,17.33,11.34,17.99,-1.67,0.34,-1.01
VfB Stuttgart,away,10,5,1,4,23,15,16,18.41,13.60,16.99,-4.59,-1.40,0.99
Bayer Leverkusen,away,9,5,1,3,18,16,16,16.65,16.65,12.06,-1.35,0.65,-3.94
RasenBallsport Leipzig,away,10,4,3,3,15,14,15,15.76,14.08,15.66,0.76,0.08,0.66
Eintracht Frankfurt,away,10,3,4,3,23,27,13,14.51,19.46,11.62,-8.49,-7.54,-1.38
Borussia M.Gladbach,away,10,3,3,4,12,13,12,14.75,14.95,13.87,2.75,1.95,1.87
Union Berlin,away,10,3,2,5,10,17,11,13.64,14.52,13.31,3.64,-2.48,2.31
Wolfsburg,away,10,3,1,6,12,21,10,14.00,19.49,11.12,2.00,-1.51,1.12
FC Cologne,away,10,2,3,5,11,17,9,15.01,21.43,9.92,4.01,4.43,0.92
Mainz 05,away,10,2,3,5,13,20,9,13.41,23.59,9.88,0.41,3.59,0.88
Freiburg,away,11,2,3,6,13,22,9,12.35,21.25,10.91,-0.65,-0.75,1.91
Augsburg,away,9,2,1,6,10,18,7,10.01,18.18,6.84,0.01,0.18,-0.16
Werder Bremen,away,10,1,3,6,10,20,6,9.80,24.33,5.93,-0.20,4.33,-0.07
St. Pauli,away,11,1,2,8,9,18,5,10.73,22.16,7.50,1.73,4.16,2.50
FC Heidenheim,away,10,1,1,8,9,23,4,12.55,23.17,8.11,3.55,0.17,4.11
Hamburger SV,away,9,0,3,6,4,18,3,8.59,17.98,6.73,4.59,-0.02,3.73
