team,venue,matches,wins,draws,losses,gf,ga,pts,xg,xga,xpts,goals_vs_xg,goals_allowed_vs_xga,pts_vs_xpts
Atletico Madrid,home,11,10,1,0,26,7,31,26.88,10.04,26.10,0.88,3.04,-4.90
Barcelona,home,10,10,0,0,31,5,30,27.71,8.74,25.09,-3.29,3.74,-4.91
Real Madrid,home,11,10,0,1,25,7,30,30.24,10.05,27.71,5.24,3.05,-2.29
Villarreal,home,11,8,1,2,23,9,25,22.66,13.90,20.86,-0.34,4.90,-4.14
Real Betis,home,11,7,1,3,22,12,22,22.04,14.47,19.96,0.04,2.47,-2.04
Osasuna,home,11,6,3,2,20,13,21,16.99,11.87,18.84,-3.01,-1.13,-2.16
Elche,home,12,5,5,2,20,13,20,20.37,24.26,16.20,0.37,11.26,-3.80
Mallorca,home,11,5,4,2,18,14,19,17.27,14.90,16.66,-0.73,0.90,-2.34
Espanyol,home,12,6,1,5,14,16,19,20.03,17.91,17.81,6.03,1.91,-1.19
Alaves,home,11,5,3,3,14,11,18,16.32,13.95,16.84,2.32,2.95,-1.16
Valencia,home,11,4,5,2,15,11,17,19.32,11.03,21.82,4.32,0.03,4.82
Real Sociedad,home,11,5,2,4,18,16,17,19.48,16.84,17.53,1.48,0.84,0.53
Athletic Club,home,11,5,2,4,11,12,17,16.72,9.38,20.29,5.72,-2.62,3.29
Celta Vigo,home,11,3,5,3,16,13,14,14.93,16.25,14.95,-1.07,3.25,0.95
Sevilla,home,11,4,1,6,16,17,13,13.80,17.16,12.20,-2.20,0.16,-0.80
Girona,home,11,3,4,4,10,18,13,13.14,22.60,10.28,3.14,4.60,-2.72
Getafe,home,11,3,3,5,8,9,12,7.84,11.49,11.74,-0.16,2.49,-0.26
Rayo Vallecano,home,10,2,6,2,8,9,12,15.93,11.25,17.19,7.93,2.25,5.19
Real Oviedo,home,11,2,5,4,4,11,11,10.15,17.04,11.17,6.15,6.04,0.17
Levante,home,10,1,4,5,11,20,7,14.85,20.47,9.96,3.85,0.47,2.96
Barcelona,away,12,8,1,3,29,18,25,36.52,22.46,23.13,7.52,4.46,-1.87
Real Madrid,away,11,7,3,1,22,11,24,24.43,15.94,20.76,2.43,4.94,-3.24
Celta Vigo,away,11,5,4,2,13,10,19,13.98,15.73,14.96,0.98,5.73,-4.04
Villarreal,away,10,5,2,3,16,14,17,15.45,15.04,14.92,-0.55,1.04,-2.08
Espanyol,away,10,4,3,3,12,11,15,14.91,14.58,13.14,2.91,3.58,-1.86
Atletico Madrid,away,11,3,5,3,12,10,14,12.78,14.87,13.79,0.78,4.87,-0.21
Real Betis,away,11,2,7,2,14,16,13,15.86,16.52,14.82,1.86,0.52,1.82
Girona,away,11,3,3,5,11,18,12,13.03,18.84,11.43,2.03,0.84,-0.57
Levante,away,11,3,2,6,13,14,11,16.42,18.03,12.92,3.42,4.03,1.92
Real Sociedad,away,11,2,5,4,12,14,11,14.48,14.64,15.95,2.48,0.64,4.95
Sevilla,away,11,3,2,6,13,20,11,12.31,23.05,8.67,-0.69,3.05,-2.33
Getafe,away,11,3,2,6,8,18,11,9.51,14.39,12.57,1.51,-3.61,1.57
Rayo Vallecano,away,12,3,1,8,10,21,10,15.39,23.21,11.96,5.39,2.21,1.96
Athletic Club,away,11,2,2,7,10,19,8,15.81,18.17,13.24,5.81,-0.83,5.24
Alaves,away,11,2,1,8,6,16,7,12.92,16.70,12.11,6.92,0.70,5.11
Valencia,away,11,1,3,7,8,24,6,11.15,22.39,8.79,3.15,-1.61,2.79
Osasuna,away,11,1,2,8,6,14,5,10.63,16.64,10.67,4.63,2.64,5.67
Mallorca,away,11,1,2,8,10,20,5,9.77,23.03,6.16,-0.23,3.03,1.16
Real Oviedo,away,11,1,2,8,8,23,5,12.14,22.68,8.36,4.14,-0.32,3.36
Elche,away,10,0,4,6,10,19,4,6.11,19.77,5.66,-3.89,0.77,1.66
