team,venue,matches,wins,draws,losses,gf,ga,pts,xg,xga,xpts,goals_vs_xg,goals_allowed_vs_xga,pts_vs_xpts
Lens,home,10,9,0,1,18,4,27,25.55,9.74,24.04,7.55,5.74,-2.96
Paris Saint Germain,home,9,8,1,0,22,4,25,19.33,7.50,20.18,-2.67,3.50,-4.82
Lyon,home,10,8,0,2,17,7,24,19.39,9.32,20.64,2.39,2.32,-3.36
Marseille,home,10,7,2,1,27,11,23,22.70,11.42,20.20,-4.30,0.42,-2.80
Strasbourg,home,10,6,1,3,17,7,19,18.55,7.99,19.57,1.55,0.99,0.57
Lille,home,10,6,1,3,17,12,19,20.71,13.79,17.65,3.71,1.79,-1.35
Monaco,home,11,6,1,4,22,18,19,21.83,15.28,19.17,-0.17,-2.72,0.17
Lorient,home,10,5,4,1,20,16,19,18.06,12.05,17.25,-1.94,-3.95,-1.75
Rennes,home,10,5,3,2,19,11,18,20.73,14.10,18.39,1.73,3.10,0.39
Angers,home,10,5,2,3,15,12,17,13.48,14.57,13.19,-1.52,2.57,-3.81
Toulouse,home,11,4,4,3,19,15,16,16.61,12.91,18.10,-2.39,-2.09,2.10
Brest,home,10,4,3,3,14,13,15,18.19,12.55,18.19,4.19,-0.45,3.19
Nice,home,10,4,3,3,14,14,15,16.58,16.29,14.42,2.58,2.29,-0.58
Le Havre,home,10,3,5,2,11,9,14,14.07,9.11,17.59,3.07,0.11,3.59
Auxerre,home,10,3,1,6,10,12,10,12.81,12.22,14.26,2.81,0.22,4.26
Paris FC,home,10,2,4,4,14,17,10,15.65,14.69,14.25,1.65,-2.31,4.25
Metz,home,9,2,2,5,9,15,8,9.81,14.08,9.81,0.81,-0.92,1.81
Nantes,home,10,1,2,7,10,21,5,11.67,18.10,9.69,1.67,-2.90,4.69
Paris Saint Germain,away,11,7,2,2,21,12,23,19.18,11.00,21.52,-1.82,-1.00,-1.48
Lens,away,10,6,1,3,16,12,19,17.89,15.30,15.24,1.89,3.30,-3.76
Marseille,away,10,5,1,4,19,11,16,19.73,13.48,17.49,0.73,2.48,1.49
Lyon,away,10,4,3,3,16,13,15,15.30,15.10,13.92,-0.70,2.10,-1.08
Toulouse,away,9,4,2,3,12,8,14,10.15,13.31,10.57,-1.85,5.31,-3.43
Lille,away,10,4,1,5,17,18,13,14.50,15.04,12.73,-2.50,-2.96,-0.27
Rennes,away,10,3,4,3,11,20,13,10.15,20.51,7.66,-0.85,0.51,-5.34
Strasbourg,away,10,3,2,5,16,18,11,15.22,18.51,11.20,-0.78,0.51,0.20
Paris FC,away,10,3,2,5,12,17,11,11.31,19.01,9.23,-0.69,2.01,-1.77
Nantes,away,10,2,3,5,9,15,9,9.81,16.68,9.11,0.81,1.68,0.11
Angers,away,10,2,3,5,6,13,9,7.14,19.67,6.14,1.14,6.67,-2.86
Lorient,away,10,2,3,5,7,15,9,11.19,17.94,8.72,4.19,2.94,-0.28
Monaco,away,9,2,2,5,10,15,8,14.40,15.52,11.28,4.40,0.52,3.28
Brest,away,10,2,2,6,12,20,8,10.57,18.05,9.88,-1.43,-1.95,1.88
Nice,away,10,2,1,7,13,24,7,11.26,20.21,7.29,-1.74,-3.79,0.29
Le Havre,away,10,1,3,6,5,16,6,7.97,20.79,6.88,2.97,4.79,0.88
Metz,away,11,1,1,9,12,31,4,9.66,26.42,5.48,-2.34,-4.58,1.48
Auxerre,away,10,0,3,7,4,17,3,10.28,19.17,8.70,6.28,2.17,5.70
