team,venue,matches,wins,draws,losses,gf,ga,pts,xg,xga,xpts,goals_vs_xg,goals_allowed_vs_xga,pts_vs_xpts
Zenit St. Petersburg,home,9,8,1,0,21,5,25,15.63,6.12,19.53,-5.37,1.12,-5.47
CSKA Moscow,home,9,8,1,0,20,6,25,15.57,8.46,17.76,-4.43,2.46,-7.24
FC Krasnodar,home,10,8,0,2,22,9,24,18.38,8.62,20.38,-3.62,-0.38,-3.62
Spartak Moscow,home,10,6,3,1,14,9,21,12.26,7.98,17.14,-1.74,-1.02,-3.86
Baltika,home,9,5,4,0,12,4,19,13.34,6.56,17.47,1.34,2.56,-1.53
Lokomotiv Moscow,home,8,5,3,0,18,8,18,15.59,8.73,15.82,-2.41,0.73,-2.18
Rubin Kazan,home,9,5,2,2,9,8,17,9.38,7.54,14.11,0.38,-0.46,-2.89
FK Akhmat,home,9,5,1,3,14,11,16,11.91,9.58,13.92,-2.09,-1.42,-2.08
Dinamo Moscow,home,9,3,3,3,17,15,12,16.63,13.06,14.86,-0.37,-1.94,2.86
Dynamo Makhachkala,home,9,3,3,3,6,6,12,10.42,7.43,14.27,4.42,1.43,2.27
Krylya Sovetov Samara,home,8,3,3,2,11,12,12,7.90,12.48,9.03,-3.10,0.48,-2.97
FC Rostov,home,9,3,3,3,8,10,12,12.03,10.24,13.32,4.03,0.24,1.32
FC Orenburg,home,9,1,5,3,9,11,8,8.90,9.83,11.39,-0.10,-1.17,3.39
Akron,home,9,1,5,3,11,14,8,11.55,14.12,10.56,0.55,0.12,2.56
Nizhny Novgorod,home,9,2,2,5,8,12,8,9.44,10.94,10.98,1.44,-1.06,2.98
PFC Sochi,home,9,1,2,6,6,19,5,4.96,16.96,5.25,-1.04,-2.04,0.25
Lokomotiv Moscow,away,10,5,4,1,21,15,19,16.44,15.52,13.65,-4.56,0.52,-5.35
FC Krasnodar,away,8,4,4,0,15,3,16,12.63,5.81,14.67,-2.37,2.81,-1.33
Baltika,away,9,4,4,1,12,3,16,10.36,8.59,13.58,-1.64,5.59,-2.42
Zenit St. Petersburg,away,9,3,5,1,13,7,14,10.16,7.60,13.16,-2.84,0.60,-0.84
Akron,away,9,4,1,4,11,12,13,9.30,13.40,9.45,-1.70,1.40,-3.55
CSKA Moscow,away,9,3,2,4,10,11,11,10.35,13.15,10.37,0.35,2.15,-0.63
Dinamo Moscow,away,9,2,3,4,10,11,9,11.62,9.67,13.48,1.62,-1.33,4.48
FC Rostov,away,9,2,3,4,7,10,9,8.10,8.01,11.86,1.10,-1.99,2.86
Spartak Moscow,away,8,2,2,4,12,14,8,11.83,10.98,11.86,-0.17,-3.02,3.86
FK Akhmat,away,9,1,3,5,8,14,6,9.73,14.77,8.70,1.73,0.77,2.70
Rubin Kazan,away,9,1,3,5,7,14,6,8.63,12.79,8.60,1.63,-1.21,2.60
Nizhny Novgorod,away,9,2,0,7,4,16,6,7.88,14.56,7.65,3.88,-1.44,1.65
Krylya Sovetov Samara,away,10,1,2,7,9,21,5,6.23,19.51,5.07,-2.77,-1.49,0.07
FC Orenburg,away,9,1,1,7,8,18,4,10.98,15.04,9.78,2.98,-2.96,5.78
PFC Sochi,away,9,1,1,7,10,22,4,7.76,15.20,7.57,-2.24,-6.80,3.57
Dynamo Makhachkala,away,9,0,3,6,2,15,3,6.67,9.27,9.77,4.67,-5.73,6.77
