team,venue,matches,wins,draws,losses,gf,ga,pts,xg,xga,xpts,goals_vs_xg,goals_allowed_vs_xga,pts_vs_xpts
Arsenal,home,12,9,2,1,28,8,29,25.86,8.64,27.60,-2.14,0.64,-1.40
Arsenal,away,12,7,3,2,18,9,24,23.43,10.15,25.13,5.43,1.15,1.13
Aston Villa,home,12,8,1,3,18,10,25,17.58,14.65,18.52,-0.42,4.65,-6.48
Aston Villa,away,12,6,3,3,17,16,21,16.56,21.70,12.42,0.44,5.70,8.58
Brentford,home,12,7,3,2,23,12,24,25.49,16.19,21.96,2.49,4.19,-2.04
Brentford,away,12,4,0,8,13,20,12,17.55,17.93,15.76,4.55,-2.07,3.76
Burnley,home,12,2,4,6,12,17,10,11.83,22.81,9.78,-0.17,5.81,-0.22
Burnley,away,11,1,2,8,13,27,5,10.23,28.82,4.43,2.77,-1.82,0.57
Chelsea,home,12,6,3,3,20,13,21,24.29,19.29,18.67,4.29,6.29,-2.33
Chelsea,away,12,5,4,3,22,14,19,23.04,17.37,19.04,1.04,3.37,0.04
Crystal Palace,home,12,2,6,4,11,15,12,22.99,18.90,18.85,11.99,3.90,6.85
Crystal Palace,away,12,5,2,5,14,14,17,18.25,18.10,16.44,4.25,4.10,0.56
Everton,home,12,4,4,4,15,16,16,16.46,17.97,15.97,1.46,1.97,-0.03
Everton,away,12,5,3,4,11,11,18,12.90,18.94,12.83,1.90,7.94,5.17
Fulham,home,12,7,2,3,21,14,23,15.82,15.99,16.35,-5.18,1.99,-6.65
Fulham,away,12,3,2,7,13,21,11,12.37,22.25,9.32,0.63,1.25,1.68
Leeds,home,12,5,4,3,19,17,19,20.88,14.88,22.09,1.88,-2.12,3.09
Leeds,away,12,1,4,7,12,25,7,14.74,20.44,13.28,2.74,4.56,6.28
Liverpool,home,12,7,3,2,20,12,24,23.37,11.11,24.49,3.37,-0.89,0.49
Liverpool,away,12,4,3,5,19,21,15,19.57,19.90,16.52,0.57,1.10,-1.52
Manchester City,home,12,9,2,1,29,8,29,26.94,13.34,25.05,-2.06,5.34,-3.95
Manchester City,away,12,5,3,4,20,15,18,20.12,15.80,20.40,0.12,0.80,-2.40
Manchester United,home,12,7,3,2,23,15,24,25.39,13.21,24.22,2.39,-1.79,0.22
Manchester United,away,12,4,5,3,21,21,17,21.51,18.93,16.46,0.51,2.07,0.54
Newcastle United,home,12,7,2,3,22,17,23,26.57,16.02,23.55,4.57,-0.98,0.55
Newcastle United,away,12,2,4,6,11,16,10,11.45,13.95,14.96,0.45,2.05,-4.96
Nottingham Forest,home,12,3,3,6,13,18,12,16.94,19.51,15.08,3.94,1.51,3.08
Nottingham Forest,away,12,4,2,6,11,17,14,9.77,20.55,9.46,1.23,3.55,4.54
Sunderland,home,11,6,5,0,18,9,23,12.06,15.12,13.27,-5.94,6.12,-9.73
Sunderland,away,12,2,4,6,6,17,10,11.33,22.34,9.61,5.33,5.34,0.39
Tottenham,home,12,2,4,6,15,16,10,15.37,16.00,17.69,0.37,0.00,7.69
Tottenham,away,12,5,4,3,20,17,19,13.93,17.04,14.51,6.07,0.04,4.49
West Ham,home,12,3,1,8,16,26,10,15.86,22.01,14.33,-0.14,3.99,4.33
West Ham,away,12,2,4,6,13,22,10,14.15,25.63,10.29,1.15,3.63,0.29
Wolverhampton Wanderers,home,12,1,2,9,10,25,5,14.93,18.55,15.15,4.93,6.45,10.15
Wolverhampton Wanderers,away,12,0,3,9,5,20,3,7.47,18.89,8.80,2.47,1.11,5.80
Bournemouth,home,12,6,4,2,19,13,22,18.58,8.88,22.99,-0.42,-4.12,0.99
Bournemouth,away,12,2,5,5,21,30,11,23.20,26.15,15.42,2.20,3.85,-4.42
Brighton,home,12,5,6,1,20,13,21,18.41,17.48,17.00,-1.59,4.48,-4.00
Brighton,away,12,2,4,6,14,19,10,18.99,20.72,15.78,4.99,1.72,5.78
